Date,PPV
2000-01-23,Royal Rumble
2000-02-27,No Way Out
2000-04-02,WrestleMania 2000 (16)
2000-04-30,Backlash
2000-05-21,Judgment Day
2000-06-25,King of the Ring
2000-07-23,Fully Loaded
2000-08-27,SummerSlam
2000-09-24,Unforgiven
2000-10-22,No Mercy
2000-11-19,Survivor Series
2000-12-10,Armageddon
2001-01-21,Royal Rumble
2001-02-25,No Way Out
2001-04-01,WrestleMania 17
2001-04-29,Backlash
2001-05-21,Judgement Day
2001-06-24,King of the Ring
2001-07-22,Invasion
2001-08-19,SummerSlam
2001-09-23,Unforgiven
2001-10-21,No Mercy
2001-11-18,Survivor Series
2001-12-09,Vengeance
2002-01-20,Royal Rumble
2002-02-17,No Way Out
2002-03-17,WrestleMania 18
2002-04-21,Backlash
2002-05-19,Judgment Day
2002-06-23,King of the Ring
2002-07-21,Vengeance
2002-08-25,SummerSlam
2002-09-22,Unforgiven
2002-10-20,No Mercy
2002-11-17,Survivor Series
2002-12-15,Armageddon
2003-01-19,Royal Rumble
2003-02-23,No Way Out
2003-03-30,WrestleMania 19
2003-04-27,Backlash
2003-05-18,Judgment Day
2003-06-15,Bad Blood
2003-07-27,Vengeance
2003-08-24,SummerSlam
2003-09-21,Unforgiven
2003-10-19,No Mercy
2003-11-16,Survivor Series
2003-12-14,Armageddon
2004-01-25,Royal Rumble
2004-02-15,No Way Out
2004-03-14,WrestleMania 20
2004-04-18,Backlash
2004-05-16,Judgment Day
2004-06-13,Bad Blood
2004-06-27,Great American Bash
2004-07-11,Vengeance
2004-08-15,SummerSlam
2004-09-12,Unforgiven
2004-10-03,No Mercy
2004-10-19,Taboo Tuesday
2004-11-14,Survivor Series
2004-12-12,Armageddon
2005-01-09,New Year’s Revolution
2005-01-30,Royal Rumble
2005-02-20,No Way Out
2005-04-03,WrestleMania 21
2005-05-01,Backlash
2005-05-22,Judgment Day
2005-06-12,ECW One Night Stand
2005-06-26,Vengeance
2005-07-24,Great American Bash
2005-08-21,SummerSlam
2005-09-18,Unforgiven
2005-10-09,No Mercy
2005-11-01,Taboo Tuesday
2005-11-27,Survivor Series
2005-12-18,Armageddon
2006-01-08,New Year’s Revolution
2006-01-29,Royal Rumble
2006-02-19,No Way Out
2006-04-02,WrestleMania 22
2006-04-30,Backlash
2006-05-21,Judgment Day
2006-06-11,ECW One Night Stand
2006-06-25,Vengeance
2006-07-23,Great American Bash
2006-08-20,SummerSlam
2006-09-17,Unforgiven
2006-10-08,No Mercy
2006-11-05,Cyber Sunday
2006-11-26,Survivor Series
2006-12-03,December to Dismember
2006-12-17,Armageddon
2007-01-07,New Year’s Revolution
2007-01-28,Royal Rumble
2007-02-18,No Way Out
2007-04-01,WrestleMania 23
2007-04-29,Backlash
2007-05-20,Judgment Day
2007-06-03,One Night Stand: Extreme Rules
2007-06-24,Vengeance: Night of Champions
2007-07-22,Great American Bash
2007-08-26,SummerSlam
2007-09-16,Unforgiven
2007-10-07,No Mercy
2007-10-28,Cyber Sunday
2007-11-18,Survivor Series
2007-12-16,Armageddon
2008-01-27,Royal Rumble
2008-02-17,No Way Out
2008-03-30,WrestleMania 24
2008-04-27,Backlash
2008-05-18,Judgment Day
2008-06-01,One Night Stand: Extreme Rules
2008-06-29,Night of Champions
2008-07-20,Great American Bash
2008-08-17,SummerSlam
2008-09-07,Unforgiven
2008-10-05,No Mercy
2008-10-26,Cyber Sunday
